id,jenis_usaha,judul,kbli,kementrian,perizinan,sub_kbli,uraian
2255,,"PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA",7830,,,,"Subgolongan ini mencakup kegiatan penyediaan sumber daya manusia dan jasa manajemen sumber daya manusia untuk pemberi kerja. Kegiatan ini dikhususkan untuk menyelenggarakan sumber daya manusia dan tugas manajemen personil. Kegiatan ini menyajikan riwayat kerja pekerja dalam hal yang berhubungan dengan upah, pajak dan masalah keuangan dan sumber daya lainnya.Subgolongan ini tidak mencakup :- Penyediaan fungsi sumber daya manusia bersama dengan pengawasan atau pengelolaan bisnis, lihat subgolongan yang berhubungan dengan masing-masing kegiatan ekonomi dari bisnis tersebut- Penyediaan sumber daya manusia sementara untuk memenuhi kebutuhan penambahan tenaga kerja."
2256,,"PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA",78300,,,,"Kelompok ini mencakup kegiatan penyediaan sumber daya manusia dan jasa manajemen sumber daya manusia untuk pemberi kerja. Kegiatan ini dikhususkan untuk menyelenggarakan sumber daya manusia dan tugas manajemen personil. Kegiatan ini menyajikan riwayat kerja pekerja dalam hal yang berhubungan dengan upah, pajak dan masalah keuangan dan sumber daya lainnya termasuk penyedia jasa pekerja/buruh."
2257,,"PELATIHAN KERJA",784,,,,"Golongan ini mencakup keseluruhan kegiatan untuk memberi, memperoleh, meningkatkan, serta mengembangkan kompetensi kerja, produktivitas, disiplin, sikap, dan etos kerja pada tingkat keterampilan dan keahlian tertentu sesuai dengan jenjang dan kualifikasi jabatan atau pekerjaan. Golongan ini mencakup kegiatan penyediaan jasa pelatihan kerja dalam rangka peningkatan kompetensi dan produktivitas yang sesuai dengan kebutuhan industri. Pelatihan kerja ditujukan bagi angkatan kerja dalam usia produktif."
2258,,"PELATIHAN KERJA PEMERINTAH",7841,,,,"Subgolongan ini mencakup penyediaan pelatihan kerja yang dikelola oleh pemerintah guna memberikan peningkatan kompetensi melalui pelatihan kerja yang diselenggarakan sesuai kebutuhan industri/pengguna."
2259,,"PELATIHAN KERJA TEKNIK PEMERINTAH",78411,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah keterampilan/keahlian dalam bidang mesin produksi, instalasi pipa, kerja pelat, pengecoran logam, CNC, las industri, las SMAW, las GMAW, las GTAW, las FCAW, las OAW, las fabrikasi, las bawah air, teknik kendaraan ringan, perbaikan body kendaraan ringan, teknik sepeda motor, mekanik motor tempel, teknik alat berat, instalasi penerangan, instalasi tenaga, Programmable Logic Control (PLC), otomasi industri, mekatronika, telekomunikasi, instrumentasi dan kontrol, audio video, instalasi satelit (VSAT), fiber optik, servis telepon seluler, penyolderan, robotik, refrigerasi domestik, teknik tata udara, konstruksi batu dan beton, desain interior, desain eksterior, konstruksi kayu, gambar bangunan, furniture/meubelair, konstruksi baja ringan, pekerjaan gipsum, surveyor dan pemetaan, pembesian, dan lainnya yang diselenggarakan oleh pemerintah."
2260,,"PELATIHAN KERJA TEKNOLOGI INFORMASI DAN KOMUNIKASI PEMERINTAH",78412,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang networking, cloud computing, website, technical support, computer engineering, programming, multimedia, database, system analyst, graphic design, office, animasi, artificial intelligence, IT governance, public relation, public speaking, IT software solution for business, dan lainnya yang diselenggarakan oleh pemerintah."
2261,,"PELATIHAN KERJA INDUSTRI KREATIF PEMERINTAH",78413,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang teknik ukir logam, teknik ukir kayu, merenda, menyulam, menenun, sablon, anyaman, teknik batik tulis, teknik batik cap, penyamakan kulit, finishing kulit, pembuatan produk dari kulit, menjahit (knitting, woven), teknik bordir, teknik pola, fashion design, fashion technology, penjahit pakaian, kecantikan kulit, kecantikan rambut, terapis spa, dan lainnya yang diselenggarakan oleh pemerintah."
2262,,"PELATIHAN KERJA PARIWISATA DAN PERHOTELAN PEMERINTAH",78414,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang perhotelan laundry attendant, bakery, tour leader, roti dan pattiserie, waiters, house keeping, front office, restaurant attendant, room attendant, barista, commercial cookery, tour guide, commis pastry, food and beverage service, food and beverage product, room divisiondan lainnya yang diselenggarakan oleh pemerintah."
2263,,"PELATIHAN KERJA BISNIS DAN MANAJEMEN PEMERINTAH",78415,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah keterampilan/keahlian dalam bidang bisnis dan manajemen yang diselenggarakan oleh pemerintah. Kegiatan yang masuk dalam kelompok ini adalah pelatihan sekretaris, administrasi perkantoran, ICT for secretary, akuntansi, keuangan, tata niaga/penjualan, bahasa asing, promosi produktivitas, bimbingan konsultansi, pengukuran produktivitas, manajemen peningkatan produktivitas, kewirausahaan, dan lainnya."
2264,,"PELATIHAN KERJA PEKERJAAN DOMESTIK PEMERINTAH",78416,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang pengurus rumah tangga, penjaga lanjut usia, pengasuh bayi/balita, pengasuh anak, juru masak, dan lainnya yang diselenggarakan oleh pemerintah."
2265,,"PELATIHAN KERJA PERTANIAN DAN PERIKANAN PEMERINTAH",78417,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang mekanisasi pertanian, tanaman pangan, hortikultura, smart nutrition, smart farming, pengolahan tanah, konservasi lahan, budidaya tanaman, hydroponic, penangkapan ikan, budidaya ikan, permesinan perikanan, pengolahan hasil pertanian, pengolahan hasil perikanan, pengolahan hasil peternakan, agribisnis produksi tanaman, agribisnis produksi peternakan, agribisnis produksi sumber daya perairan dan lainnya yang diselenggarakan oleh pemerintah."
2266,,"PELATIHAN KERJA PEMERINTAH LAINNYA",78419,,,,"Kelompok ini mencakup kegiatan pelatihan kerja lainnya yang diselenggarakan pemerintah yang belum dicakup dalam kelompok 78411 s.d. 78417, termasuk bidang metodologi pelatihan kerja, Kesehatan dan Keselamatan Kerja (K3), pelatihan motivasi, pengembangan diri, pengembangan karir, neuro language programming, dan lainnya yang diselenggarakan oleh pemerintah."
2267,,"PELATIHAN KERJA SWASTA",7842,,,,"Subgolongan ini mencakup penyediaan pelatihan kerja yang dikelola oleh swasta guna memberikan peningkatan kompetensi melalui pelatihan kerja yang diselenggarakan sesuai kebutuhan industri/pengguna."
2268,,"PELATIHAN KERJA TEKNIK SWASTA",78421,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang mesin produksi, instalasi pipa, kerja pelat, pengecoran logam, CNC, las industri, fabrikasi, las bawah air, teknik kendaraan ringan, teknik sepeda motor, teknik alat berat, instalasi penerangan, instalasi tenaga, otomasi industri, mekatronika, telekomunikasi, instrumentasi dan kontrol, audio video, refrigerasi domestik, teknik tata udara, konstruksi batu dan beton, konstruksi kayu, gambar bangunan, furniture, konstruksi baja ringan, pekerjaan gipsum, survei dan pemetaan, pembesian, dan lainnya yang diselenggarakan oleh swasta."
2269,,"PELATIHAN KERJA TEKNOLOGI INFORMASI DAN KOMUNIKASI SWASTA",78422,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang networking, technical support, computer engineering, programming, multimedia, database, system analyst, graphic design, office tools, animasi, artificial intelligence, IT governance, public relation, public speaking, dan lainnya yang diselenggarakan oleh swasta."
2270,,"PELATIHAN KERJA INDUSTRI KREATIF SWASTA",78423,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang teknik ukir logam, teknik ukir kayu, merenda, menyulam, menenun, sablon, anyaman, teknik batik tulis, teknik batik cap, penyamakan kulit, finishing kulit, pembuatan produk dari kulit, menjahit (knitting, woven), teknik bordir, teknik pola, fashion design, fashion technology, kecantikan kulit, kecantikan rambut, dan lainnya yang diselenggarakan oleh swasta."
2271,,"PELATIHAN KERJA PARIWISATA DAN PERHOTELAN SWASTA",78424,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang perhotelan yang diselenggarakan oleh swasta."
2272,,"PELATIHAN KERJA BISNIS DAN MANAJEMEN SWASTA",78425,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah keterampilan/keahlian dalam bidang bisnis dan manajemen yang diselenggarakan oleh swasta. Kegiatan yang masuk dalam kelompok ini adalah pelatihan sekretaris, administrasi perkantoran, ICT for secretary,keuangan, tata niaga/penjualan, bahasa asing, promosi produktivitas, bimbingan konsultansi, pengukuran produktivitas, manajemen peningkatan produktivitas, kewirausahaan, dan lainnya."
2273,,"PELATIHAN KERJA PEKERJAAN DOMESTIK SWASTA",78426,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang pengurus rumah tangga, penjaga lanjut usia, pengasuh bayi/balita, pengasuh anak, juru masak, dan lainnya yang diselenggarakan oleh swasta."
2274,,"PELATIHAN KERJA PERTANIAN DAN PERIKANAN SWASTA",78427,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang mekanisasi pertanian, tanaman pangan, hortikultura, mix farming, pengolahan tanah, konservasi lahan, budidaya tanaman, penangkapan ikan, budidaya ikan, permesinan perikanan, pengolahan hasil pertanian, pengolahan hasil perikanan, pengolahan hasil peternakan, agribisnis produksi tanaman, agribisnis produksi peternakan, agribisnis produksi sumber daya perairan dan lainnya yang diselenggarakan oleh swasta."
2275,,"PELATIHAN KERJA SWASTA LAINNYA",78429,,,,"Kelompok ini mencakup kegiatan pelatihan kerja lainnya yang diselenggarakan swasta yang belum dicakup dalam kelompok 78421 s.d. 78427, termasuk bidang metodologi pelatihan kerja, Kesehatan dan Keselamatan Kerja (K3), pelatihan motivasi, pengembangan diri, pengembangan karir, neuro language programming, dan lainnya yang diselenggarakan oleh swasta."
2276,,"PELATIHAN KERJA PERUSAHAAN",7843,,,,"Subgolongan ini mencakup penyediaan pelatihan kerja yang dikelola oleh perusahaan guna memberikan peningkatan kompetensi bagi karyawan/peserta pelatihan melalui pelatihan yang diselenggarakan sesuai kebutuhan perusahaan/industri."
2277,,"PELATIHAN KERJA TEKNIK PERUSAHAAN",78431,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang mesin produksi, instalasi pipa, kerja pelat, pengecoran logam, CNC, las industri, fabrikasi, las bawah air, teknik kendaraan ringan, teknik sepeda motor, teknik alat berat, instalasi penerangan, instalasi tenaga, otomasi industri, mekatronika, telekomunikasi, instrumentasi dan kontrol, audio video, refrigerasi domestik, teknik tata udara, konstruksi batu dan beton, konstruksi kayu, gambar bangunan, furniture, konstruksi baja ringan, pekerjaan gipsum, survei dan pemetaan, pembesian, dan lainnya yang diselenggarakan oleh perusahaan."
2278,,"PELATIHAN KERJA TEKNOLOGI INFORMASI DAN KOMUNIKASI PERUSAHAAN",78432,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang networking, technical support, computer engineering, programming, multimedia, database, system analyst, graphic design, office tools, animasi, artificial intelligence, IT governance, public relation, public speaking, dan lainnya yang diselenggarakan oleh perusahaan."
2279,,"PELATIHAN KERJA INDUSTRI KREATIF PERUSAHAAN",78433,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang teknik ukir logam, teknik ukir kayu, merenda, menyulam, menenun, sablon, anyaman, teknik batik tulis, teknik batik cap, penyamakan kulit, finishing kulit, pembuatan produk dari kulit, menjahit (knitting, woven), teknik bordir, teknik pola, fashion design, fashion technology, kecantikan kulit, kecantikan rambut, dan lainnya yang diselenggarakan oleh perusahaan."
2280,,"PELATIHAN KERJA PARIWISATA DAN PERHOTELAN PERUSAHAAN",78434,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang perhotelan yang diselenggarakan oleh perusahaan."
2281,,"PELATIHAN KERJA BISNIS DAN MANAJEMEN PERUSAHAAN",78435,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah keterampilan/keahlian dalam bidang bisnis dan manajemen yang diselenggarakan oleh perusahaan. Kegiatan yang masuk dalam kelompok ini adalah pelatihan sekretaris, administrasi perkantoran, ICT for secretary,keuangan, tata niaga/penjualan, bahasa asing, promosi produktivitas, bimbingan konsultansi, pengukuran produktivitas, manajemen peningkatan produktivitas, kewirausahaan, dan lainnya."
2282,,"PELATIHAN KERJA PEKERJAAN DOMESTIK PERUSAHAAN",78436,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang pengurus rumah tangga, penjaga lanjut usia, pengasuh bayi/balita, pengasuh anak, juru masak, dan lainnya yang diselenggarakan oleh perusahaan."
2283,,"PELATIHAN KERJA PERTANIAN DAN PERIKANAN PERUSAHAAN",78437,,,,"Kelompok ini mencakup kegiatan pelatihan kerja yang bertujuan untuk menambah ketrampilan/keahlian dalam bidang mekanisasi pertanian, tanaman pangan, hortikultura, mix farming, pengolahan tanah, konservasi lahan, budidaya tanaman, penangkapan ikan, budidaya ikan, permesinan perikanan, pengolahan hasil pertanian, pengolahan hasil perikanan, pengolahan hasil peternakan, agribisnis produksi tanaman, agribisnis produksi peternakan, agribisnis produksi sumber daya perairan dan lainnya yang diselenggarakan oleh perusahaan."
2284,,"PELATIHAN KERJA PERUSAHAAN LAINNYA",78439,,,,"Kelompok ini mencakup kegiatan pelatihan kerja lainnya yang diselenggarakan perusahaan yang belum dicakup dalam kelompok 78431 s.d. 78437, termasuk bidang metodologi pelatihan kerja, Kesehatan dan Keselamatan Kerja (K3), pelatihan motivasi, pengembangan diri, pengembangan karir, neuro language programming, dan lainnya yang diselenggarakan oleh perusahaan."
2285,,"AKTIVITAS AGEN PERJALANAN, PENYELENGGARA TUR DAN JASA RESERVASI LAINNYA",79,,,,"Golongan pokok ini mencakup kegiatan keagenan, yang utamanya berkaitan dengan penjualan jasa travel, tur, transportasi dan akomodasi kepada masyarakat umum dan klien komersial dan kegiatan yang mengurus dan mengelola tur yang dijual melalui agen perjalanan atau secara langsung oleh agen seperti operator tur dan jasa lain yang berhubungan dengan travel termasuk jasa informasi, promosi dan pemandu wisata."
2286,,"AKTIVITAS AGEN PERJALANAN DAN PENYELENGGARA TUR",791,,,,"Golongan ini mencakup kegiatan keagenan yang utamanya berkaitan dalam penjualan paket wisata, tur, transportasi dan akomodasi pada masyarakat umum dan klien komersial dan kegiatan yang mengurus dan mengelola tur yang dijual melalui agen perjalanan atau secara langsung oleh agen, seperti penyelenggara tur. Kegiatan ini dapat berdasarkan penjualan partai besar atau eceran pada masyarakat umum dan klien komersial. Tur di sini dapat mencakup beberapa atau semua komponen berikut ini, seperti transportasi, akomodasi atau penginapan, makanan dan minuman, kunjungan ke tempat wisata atau suatu pertunjukkan. Golongan pokok ini juga mencakup kegiatan pemandu wisata."
2287,,"AKTIVITAS AGEN PERJALANAN",7911,,,,"Subgolongan ini mencakup kegiatan agen, terutama yang melakukan penjualan paket wisata, paket tur, paket ibadah umroh dan haji khusus, jasa transportasi dan akomodasi berdasarkan penjualan partai besar atau eceran pada masyarakat umum dan klien komersil."
2288,,"AKTIVITAS AGEN PERJALANAN WISATA",79111,,,,"Kelompok ini mencakup usaha yang kegiatannya sebagai perantara penjualan paket wisata, baik secara daring (online) maupun luring (offline), yang dikemas oleh biro perjalanan wisata; memesan tiket angkutan darat, laut, dan udara, baik untuk tujuan dalam negeri maupun luar negeri; memesan akomodasi, restoran, dan tiket pertunjukan seni budaya, serta kunjungan ke destinasi atau daya tarik wisata; dan mengurus dokumen perjalanan berupa paspor dan visa atau dokumen lain yang dipersamakan."
2289,,"AKTIVITAS AGEN PERJALANAN IBADAH UMROH DAN HAJI KHUSUS",79112,,,,"Kelompok ini mencakup usaha yang kegiatannya sebagai perantara penjualan paket ibadah umroh dan haji khusus, baik secara daring (online) maupun luring (offline), yang dikemas oleh biro perjalanan ibadah umroh dan haji khusus; memesan tiket angkutan darat, laut, dan udara, baik untuk tujuan dalam negeri maupun luar negeri; memesan akomodasi, restoran, dan tiket pertunjukan seni budaya, serta kunjungan ke destinasi atau daya tarik wisata; dan mengurus dokumen perjalanan berupa paspor dan visa atau dokumen lain yang dipersamakan."
2290,,"AKTIVITAS AGEN PERJALANAN LAINNYA",79119,,,,"Kelompok ini mencakup usaha yang kegiatannya tidak termasuk dalam kelompok 79111 dan 79112, melakukan pemesanan dan penjualan tiket angkutan udara, laut dan darat, baik untuk tujuan dalam negeri maupun luar negeri."
2291,,"AKTIVITAS BIRO PERJALANAN",7912,,,,"Subgolongan ini mencakup kegiatan penyusunan dan pengemasan tur yang dijual melalui agen perjalanan atau secara langsung oleh penyelenggara tur, paket wisata, paket ibadah umroh dan haji khusus. Tur dan paket tersebut mencakup beberapa atau seluruh dari hal-hal berikut, seperti transportasi, akomodasi, makanan dan kunjungan ke museum, tempat sejarah atau budaya, teater, kegiatan musik atau olahraga."
2292,,"AKTIVITAS BIRO PERJALANAN WISATA",79121,,,,"Kelompok ini mencakup usaha yang kegiatannya melakukan perencanaan dan pengemasan komponen-komponen perjalanan wisata termasuk wisata alam, yang meliputi sarana wisata, destinasi atau daya tarik wisata dan jasa pariwisata lainnya terutama yang terdapat di wilayah Indonesia dalam bentuk paket wisata, melakukan penyelenggaraan dan penjualan paket wisata dengan cara menyalurkan melalui agen perjalanan dan atau menjual langsung kepada wisatawan atau konsumen, melakukan penyediaan layanan pramuwisata yang berhubungan dengan paket wisata yang dijual, baik secara daring (online) maupun luring (offline), melakukan penyediaan layanan angkutan wisata, melakukan pemesanan akomodasi, restoran, tempat konvensi, dan tiket penjualan seni budaya serta kunjungan ke daya tarik wisata, melakukan pengurusan dokumen perjalanan berupa paspor dan visa atau dokumen lain yang dipersamakan."
